OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
207903717220850|48453001919|Census Tract 19.19|4432254|0|G5020|S|207403717220850|48453001919|Census Tract 19.19|4446080|0|G5020|S|4420108|0
2079015903264746|48453001920|Census Tract 19.20|9915638|0|G5020|S|20740378116527|48453001908|Census Tract 19.08|32367762|502|G5020|S|9915638|0
2079015903315766|48453001921|Census Tract 19.21|22449713|502|G5020|S|20740378116527|48453001908|Census Tract 19.08|32367762|502|G5020|S|22448871|502
2079015903315766|48453001921|Census Tract 19.21|22449713|502|G5020|S|207403717221110|48453001914|Census Tract 19.14|13768153|0|G5020|S|842|0
2079015903291549|48453001922|Census Tract 19.22|2185774|0|G5020|S|20740378104451|48453001901|Census Tract 19.01|3967889|0|G5020|S|2185774|0
2079015903212750|48453001923|Census Tract 19.23|1782115|0|G5020|S|20740378104451|48453001901|Census Tract 19.01|3967889|0|G5020|S|1782115|0
20790378104488|48453002002|Census Tract 20.02|1589727|0|G5020|S|20740378104488|48453002002|Census Tract 20.02|1545560|0|G5020|S|1545560|0
20790378104488|48453002002|Census Tract 20.02|1589727|0|G5020|S|20740378104478|48453002005|Census Tract 20.05|1638539|0|G5020|S|44167|0
20790378104497|48453002003|Census Tract 20.03|2044867|0|G5020|S|20740378117255|48453001307|Census Tract 13.07|1793883|0|G5020|S|24386|0
20790378104497|48453002003|Census Tract 20.03|2044867|0|G5020|S|20740378117268|48453001308|Census Tract 13.08|1305980|0|G5020|S|30355|0
20790378104497|48453002003|Census Tract 20.03|2044867|0|G5020|S|20740378104497|48453002003|Census Tract 20.03|1990126|0|G5020|S|1990126|0
20790378104194|48453002004|Census Tract 20.04|859067|0|G5020|S|20740378104194|48453002004|Census Tract 20.04|866652|0|G5020|S|859067|0
2079015903253133|48453002006|Census Tract 20.06|727895|0|G5020|S|20740378104478|48453002005|Census Tract 20.05|1638539|0|G5020|S|727895|0
2079015903254459|48453002007|Census Tract 20.07|874062|0|G5020|S|20740378104194|48453002004|Census Tract 20.04|866652|0|G5020|S|7585|0
2079015903254459|48453002007|Census Tract 20.07|874062|0|G5020|S|20740378104478|48453002005|Census Tract 20.05|1638539|0|G5020|S|866477|0
20790378104506|48453002104|Census Tract 21.04|1237911|0|G5020|S|20740378104506|48453002104|Census Tract 21.04|1236627|0|G5020|S|1236627|0
